Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,163.360001,165.020004,159.039993,159.300003,157.908875,96418800
2022-03-08,158.820007,162.880005,155.800003,157.440002,156.065109,131148300
2022-03-09,161.479996,163.410004,159.410004,162.949997,161.527008,91454900
2022-03-10,160.199997,160.389999,155.979996,158.520004,157.135696,105342000
2022-03-11,158.929993,159.279999,154.500000,154.729996,153.378784,96970100
2022-03-14,151.449997,154.119995,150.100006,150.619995,149.304642,108732100
2022-03-15,150.899994,155.570007,150.380005,155.089996,153.735611,92964300
2022-03-16,157.050003,160.000000,154.460007,159.589996,158.196335,102300200
2022-03-17,158.610001,161.000000,157.630005,160.619995,159.217331,75615400
2022-03-18,160.509995,164.479996,159.759995,163.979996,162.547989,123511700
2022-03-21,163.509995,166.350006,163.009995,165.380005,163.935776,95811400
2022-03-22,165.509995,169.419998,164.910004,168.820007,167.345749,81532000
2022-03-23,167.990005,172.639999,167.649994,170.210007,168.723618,98062700
2022-03-24,171.059998,174.139999,170.210007,174.070007,172.549866,90131400
2022-03-25,173.880005,175.279999,172.750000,174.720001,173.194214,80546200
2022-03-28,172.169998,175.729996,172.000000,175.600006,174.066513,90371900
2022-03-29,176.690002,179.009995,176.339996,178.960007,177.397186,100589400
2022-03-30,178.550003,179.610001,176.699997,177.770004,176.217590,92633200
2022-03-31,177.839996,178.029999,174.399994,174.610001,173.085190,103049300
2022-04-01,174.029999,174.880005,171.940002,174.309998,172.787766,78751300
2022-04-04,174.570007,178.490005,174.440002,178.440002,176.881714,76468400
2022-04-05,177.500000,178.300003,174.419998,175.059998,173.531235,73401800
2022-04-06,172.360001,173.630005,170.130005,171.830002,170.329453,89058800
2022-04-07,171.160004,173.360001,169.850006,172.139999,170.636749,77594700
2022-04-08,171.779999,171.779999,169.199997,170.089996,168.604645,76575500
2022-04-11,168.710007,169.029999,165.500000,165.750000,164.302551,72246700
2022-04-12,168.020004,169.869995,166.639999,167.660004,166.195877,79265200
2022-04-13,167.389999,171.039993,166.770004,170.399994,168.911942,70618900
2022-04-14,170.619995,171.270004,165.039993,165.289993,163.846558,75329400
2022-04-18,163.919998,166.600006,163.570007,165.070007,163.628494,69023900
2022-04-19,165.020004,167.820007,163.910004,167.399994,165.938126,67723800
2022-04-20,168.759995,168.880005,166.100006,167.229996,165.769623,67929800
2022-04-21,168.910004,171.529999,165.910004,166.419998,164.966690,87227800
2022-04-22,166.460007,167.869995,161.500000,161.789993,160.377121,84882400
2022-04-25,161.119995,163.169998,158.460007,162.880005,161.457611,96046400
2022-04-26,162.250000,162.339996,156.720001,156.800003,155.430725,95623200
2022-04-27,155.910004,159.789993,155.380005,156.570007,155.202713,88063200
2022-04-28,159.250000,164.520004,158.929993,163.639999,162.210968,130216800
2022-04-29,161.839996,166.199997,157.250000,157.649994,156.273285,131747600
2022-05-02,156.710007,158.229996,153.270004,157.960007,156.580566,123055300
2022-05-03,158.149994,160.710007,156.320007,159.479996,158.087296,88966500
2022-05-04,159.669998,166.479996,159.259995,166.020004,164.570190,108256500
2022-05-05,163.850006,164.080002,154.949997,156.770004,155.400970,130525300
2022-05-06,156.009995,159.440002,154.179993,157.279999,156.135590,116124600
2022-05-09,154.929993,155.830002,151.490005,152.059998,150.953537,131577900
2022-05-10,155.520004,156.740005,152.929993,154.509995,153.385727,115366700
2022-05-11,153.500000,155.449997,145.809998,146.500000,145.434006,142689800
2022-05-12,142.770004,146.199997,138.800003,142.559998,141.522690,182602000
2022-05-13,144.589996,148.100006,143.110001,147.110001,146.039597,113990900
2022-05-16,145.550003,147.520004,144.179993,145.539993,144.481003,86643800
2022-05-17,148.860001,149.770004,146.679993,149.240005,148.154083,78336300
2022-05-18,146.850006,147.360001,139.899994,140.820007,139.795349,109742900
2022-05-19,139.880005,141.660004,136.600006,137.350006,136.350601,136095600
2022-05-20,139.089996,140.699997,132.610001,137.589996,136.588852,137426100
2022-05-23,137.789993,143.259995,137.649994,143.110001,142.068665,117726300
2022-05-24,140.809998,141.970001,137.330002,140.360001,139.338699,104132700
2022-05-25,138.429993,141.789993,138.339996,140.520004,139.497528,92482700
2022-05-26,137.389999,144.339996,137.139999,143.779999,142.733826,90601500
2022-05-27,145.389999,149.679993,145.259995,149.639999,148.551178,90978500
2022-05-31,149.070007,150.660004,146.839996,148.839996,147.756973,103718400
2022-06-01,149.899994,151.740005,147.679993,148.710007,147.627945,74286600
2022-06-02,147.830002,151.270004,146.860001,151.210007,150.109756,72348100
2022-06-03,146.899994,147.970001,144.460007,145.380005,144.322159,88570300
2022-06-06,147.029999,148.570007,144.899994,146.139999,145.076630,71598400
2022-06-07,144.350006,149.000000,144.100006,148.710007,147.627945,67808200
2022-06-08,148.580002,149.869995,147.460007,147.960007,146.883392,53950200
2022-06-09,147.080002,147.949997,142.529999,142.639999,141.602112,69473000
2022-06-10,140.279999,140.759995,137.059998,137.130005,136.132217,91437900
2022-06-13,132.869995,135.199997,131.440002,131.880005,130.920425,122207100
2022-06-14,133.130005,133.889999,131.479996,132.759995,131.793976,84784300
2022-06-15,134.289993,137.339996,132.160004,135.429993,134.444550,91533000
2022-06-16,132.080002,132.389999,129.039993,130.059998,129.113632,108123900
2022-06-17,130.070007,133.080002,129.809998,131.559998,130.602707,134520300
2022-06-21,133.419998,137.059998,133.320007,135.869995,134.881363,81000500
2022-06-22,134.789993,137.759995,133.910004,135.350006,134.365143,73409200
2022-06-23,136.820007,138.589996,135.630005,138.270004,137.263916,72433800
2022-06-24,139.899994,141.910004,139.770004,141.660004,140.629242,89116800
2022-06-27,142.699997,143.490005,140.970001,141.660004,140.629242,70207900
2022-06-28,142.130005,143.419998,137.320007,137.440002,136.439941,67083400
2022-06-29,137.460007,140.669998,136.669998,139.229996,138.216904,66242400
2022-06-30,137.250000,138.369995,133.770004,136.720001,135.725189,98964500
2022-07-01,136.039993,139.039993,135.660004,138.929993,137.919098,71051600
2022-07-05,137.770004,141.610001,136.929993,141.559998,140.529953,73353800
2022-07-06,141.350006,144.119995,141.080002,142.919998,141.880051,74064300
2022-07-07,143.289993,146.550003,143.279999,146.350006,145.285110,66253700
2022-07-08,145.259995,147.550003,145.000000,147.039993,145.970093,64547800
2022-07-11,145.669998,146.639999,143.779999,144.869995,143.815872,63141600
2022-07-12,145.759995,148.449997,145.050003,145.860001,144.798676,77588800
2022-07-13,142.990005,146.449997,142.119995,145.490005,144.431381,71185600
2022-07-14,144.080002,148.949997,143.250000,148.470001,147.389679,78140700
2022-07-15,149.779999,150.860001,148.199997,150.169998,149.077301,76259900
2022-07-18,150.740005,151.570007,146.699997,147.070007,145.999878,81420900
2022-07-19,147.919998,151.229996,146.910004,151.000000,149.901276,82982400
2022-07-20,151.119995,153.720001,150.369995,153.039993,151.926422,64823400
2022-07-21,154.500000,155.570007,151.940002,155.350006,154.219620,65086600
2022-07-22,155.389999,156.279999,153.410004,154.089996,152.968781,66675400
2022-07-25,154.009995,155.039993,152.279999,152.949997,151.837082,53623900
2022-07-26,152.259995,153.089996,150.800003,151.600006,150.496918,55138700
2022-07-27,152.580002,157.330002,152.160004,156.789993,155.649139,78620700
2022-07-28,156.979996,157.639999,154.410004,157.350006,156.205078,81378700
2022-07-29,161.240005,163.630005,159.500000,162.509995,161.327530,101786900
2022-08-01,161.009995,163.589996,160.889999,161.509995,160.334778,67829400
2022-08-02,160.100006,162.410004,159.630005,160.009995,158.845703,59907000
2022-08-03,160.839996,166.589996,160.750000,166.130005,164.921188,82507500
2022-08-04,166.009995,167.190002,164.429993,165.809998,164.603500,55474100
2022-08-05,163.210007,165.850006,163.000000,165.350006,164.374878,56697000
2022-08-08,166.369995,167.809998,164.199997,164.869995,163.897690,60276900
2022-08-09,164.020004,165.820007,163.250000,164.919998,163.947418,63135500
2022-08-10,167.679993,169.339996,166.899994,169.240005,168.241928,70170500
2022-08-11,170.059998,170.990005,168.190002,168.490005,167.496353,57149200
2022-08-12,169.820007,172.169998,169.399994,172.100006,171.085068,68039400
2022-08-15,171.520004,173.389999,171.350006,173.190002,172.168625,54091700
2022-08-16,172.779999,173.710007,171.660004,173.029999,172.009567,56377100
2022-08-17,172.770004,176.149994,172.570007,174.550003,173.520615,79542000
2022-08-18,173.750000,174.899994,173.119995,174.149994,173.122971,62290100
2022-08-19,173.029999,173.740005,171.309998,171.520004,170.508469,70346300
2022-08-22,169.690002,169.860001,167.139999,167.570007,166.581772,69026800
2022-08-23,167.080002,168.710007,166.649994,167.229996,166.243759,54147100
2022-08-24,167.320007,168.110001,166.250000,167.529999,166.542007,53841500
2022-08-25,168.779999,170.139999,168.350006,170.029999,169.027283,51218200
2022-08-26,170.570007,171.050003,163.559998,163.619995,162.655045,78961000
2022-08-29,161.149994,162.899994,159.820007,161.380005,160.428268,73314000
2022-08-30,162.130005,162.559998,157.720001,158.910004,157.972855,77906200
2022-08-31,160.309998,160.580002,157.139999,157.220001,156.292816,87991100
2022-09-01,156.639999,158.419998,154.669998,157.960007,157.028458,74229900
2022-09-02,159.750000,160.360001,154.970001,155.809998,154.891129,76957800
2022-09-06,156.470001,157.089996,153.690002,154.529999,153.618683,73714800
2022-09-07,154.820007,156.669998,153.610001,155.960007,155.040237,87449600
2022-09-08,154.639999,156.360001,152.679993,154.460007,153.549088,84923800
2022-09-09,155.470001,157.820007,154.750000,157.369995,156.441925,68028800
2022-09-12,159.589996,164.259995,159.300003,163.429993,162.466171,104956000
2022-09-13,159.899994,160.539993,153.369995,153.839996,152.932739,122656600
2022-09-14,154.789993,157.100006,153.610001,155.309998,154.394073,87965400
2022-09-15,154.649994,155.240005,151.380005,152.369995,151.471405,90481100
2022-09-16,151.210007,151.350006,148.369995,150.699997,149.811249,162278800
2022-09-19,149.309998,154.559998,149.100006,154.479996,153.568954,81474200
2022-09-20,153.399994,158.080002,153.080002,156.899994,155.974701,107689800
2022-09-21,157.339996,158.740005,153.600006,153.720001,152.813446,101696800
2022-09-22,152.380005,154.470001,150.910004,152.740005,151.839249,86652500
2022-09-23,151.190002,151.470001,148.559998,150.429993,149.542831,96029900
2022-09-26,149.660004,153.770004,149.639999,150.770004,149.880859,93339400
2022-09-27,152.740005,154.720001,149.949997,151.759995,150.865005,84442700
2022-09-28,147.639999,150.639999,144.839996,149.839996,148.956329,146691400
2022-09-29,146.100006,146.720001,140.679993,142.479996,141.639740,128138200
2022-09-30,141.279999,143.100006,138.000000,138.199997,137.384979,124925300
2022-10-03,138.210007,143.070007,137.690002,142.449997,141.609909,114311700
2022-10-04,145.029999,146.220001,144.259995,146.100006,145.238388,87830100
2022-10-05,144.070007,147.380005,143.009995,146.399994,145.536606,79471000
2022-10-06,145.809998,147.539993,145.220001,145.429993,144.572342,68402200
2022-10-07,142.539993,143.100006,139.449997,140.089996,139.263840,85925600
2022-10-10,140.419998,141.889999,138.570007,140.419998,139.591888,74899000
2022-10-11,139.899994,141.350006,138.220001,138.979996,138.160370,77033700
2022-10-12,139.130005,140.360001,138.160004,138.339996,137.524155,70433700
2022-10-13,134.990005,143.589996,134.369995,142.990005,142.146729,113224000
2022-10-14,144.309998,144.520004,138.190002,138.380005,137.563919,88598000
2022-10-17,141.070007,142.899994,140.270004,142.410004,141.570145,85250900
2022-10-18,145.490005,146.699997,140.610001,143.750000,142.902252,99136600
2022-10-19,141.690002,144.949997,141.500000,143.860001,143.011597,61758300
2022-10-20,143.020004,145.889999,142.649994,143.389999,142.544373,64522000
2022-10-21,142.869995,147.850006,142.649994,147.270004,146.401505,86548600
2022-10-24,147.190002,150.229996,146.000000,149.449997,148.568634,75981900
2022-10-25,150.089996,152.490005,149.360001,152.339996,151.441574,74732300
2022-10-26,150.960007,151.990005,148.039993,149.350006,148.469238,88194300
2022-10-27,148.070007,149.050003,144.130005,144.800003,143.946060,109180200
